id;creation_date;publication_date;headline;leadtext;bodytext;quote;conclusion;link_text;link_url;image;image_content_type;appuser_id;blog_id
1;2021-05-07T02:43:30;2021-05-06T20:56:11;mesh EXE Orchestrator;action-items;Hat;help-desk Tools Loan;magenta mission-critical New;revolutionize Markets;Dominica;../fake-data/blob/hipster.png;image/png;1;1
2;2021-05-07T03:12:56;2021-05-06T13:47:38;bypassing Common;backing;payment Identity;PCI Home;Shoes;plum withdrawal Sleek;Checking Digitized;../fake-data/blob/hipster.png;image/png;2;2
3;2021-05-07T00:31:54;2021-05-06T23:13:48;innovative Avon transform;Technician;XSS connecting;clicks-and-mortar Handmade;Manager;redefine PCI;withdrawal matrix synergize;../fake-data/blob/hipster.png;image/png;1;3
4;2021-05-06T16:25:51;2021-05-07T06:11:57;generate Rhode connecting;Gateway deposit;Cotton Administrator;Awesome payment Cross-group;Optional;Executive Fantastic;bypassing Savings Solutions;../fake-data/blob/hipster.png;image/png;2;4
5;2021-05-06T19:42:07;2021-05-07T12:40:14;Kids;copy;Bedfordshire metrics;Utah connecting;frictionless;Ergonomic input;pricing contingency;../fake-data/blob/hipster.png;image/png;1;5
6;2021-05-06T15:53:00;2021-05-06T15:54:56;Montana object-oriented;Producer protocol;withdrawal;Berkshire Frozen;Cambridgeshire;Small Ergonomic Kentucky;ability synthesize;../fake-data/blob/hipster.png;image/png;2;6
7;2021-05-07T13:16:29;2021-05-07T12:52:42;U.S.;payment Massachusetts;SMTP;Director microchip magenta;Gorgeous Borders Peso;Intuitive generate deliverables;Rubber;../fake-data/blob/hipster.png;image/png;2;7
8;2021-05-06T20:53:34;2021-05-07T07:30:36;array array workforce;Applications Associate;markets;Upgradable Research recontextualize;Germany invoice;Saint;Sausages Refined;../fake-data/blob/hipster.png;image/png;2;8
9;2021-05-07T01:33:19;2021-05-07T03:34:15;Pizza Uzbekistan;Dollar Tools;Chief Benin turn-key;Loan Hat Rustic;deposit Chicken;needs-based Human redundant;Steel generate Mayen;../fake-data/blob/hipster.png;image/png;1;9
10;2021-05-07T05:41:59;2021-05-07T06:38:29;payment;ADP standardization capability;compelling;program Account California;synergies;impactful Account;quantify Keyboard;../fake-data/blob/hipster.png;image/png;1;10
